iter	Passed	Remaining
402	9787	4954
403	9811	4930
404	9835	4905
405	9857	4880
406	9880	4855
407	9905	4831
408	9926	4805
409	9951	4781
410	9977	4757
411	10001	4733
412	10028	4710
413	10052	4686
414	10077	4662
415	10100	4637
416	10121	4611
417	10144	4587
418	10167	4562
419	10194	4538
420	10216	4513
421	10238	4488
422	10263	4464
423	10288	4440
424	10311	4415
425	10335	4391
426	10361	4367
427	10384	4342
428	10410	4319
429	10433	4294
430	10457	4270
431	10483	4246
432	10506	4221
433	10529	4197
434	10556	4173
435	10582	4150
436	10605	4125
437	10631	4102
438	10654	4077
439	10679	4053
440	10703	4029
441	10729	4005
442	10750	3979
443	10774	3955
444	10797	3930
445	10819	3905
446	10845	3881
447	10868	3857
448	10892	3833
449	10919	3809
450	10944	3785
451	10967	3761
452	10994	3737
453	11016	3712
454	11040	3688
455	11067	3664
456	11091	3640
457	11116	3616
458	11141	3592
459	11167	3568
460	11192	3544
461	11214	3519
462	11241	3496
463	11268	3472
464	11296	3449
465	11322	3425
466	11350	3402
467	11378	3379
468	11405	3356
469	11432	3332
470	11459	3308
471	11487	3285
472	11516	3262
473	11541	3238
474	11566	3214
475	11594	3190
476	11621	3167
477	11646	3143
478	11672	3119
479	11702	3096
480	11728	3072
481	11752	3047
482	11778	3023
483	11802	2999
484	11823	2974
485	11848	2950
486	11871	2925
487	11895	2900
488	11919	2876
489	11944	2852
490	11969	2827
491	11992	2803
492	12017	2778
493	12042	2754
494	12066	2730
495	12089	2705
496	12115	2681
497	12139	2657
498	12164	2632
499	12186	2607
500	12210	2583
501	12233	2558
502	12258	2534
503	12282	2510
504	12306	2485
505	12331	2461
506	12353	2436
507	12376	2412
508	12401	2387
509	12423	2362
510	12447	2338
511	12471	2313
512	12494	2289
513	12518	2265
514	12542	2240
515	12568	2216
516	12592	2192
517	12618	2168
518	12642	2143
519	12666	2119
520	12688	2094
521	12711	2069
522	12736	2045
523	12762	2021
524	12787	1997
525	12814	1973
526	12839	1949
527	12861	1924
528	12885	1899
529	12907	1875
530	12931	1850
531	12956	1826
532	12979	1802
533	13002	1777
534	13025	1752
535	13048	1728
536	13069	1703
537	13092	1679
538	13117	1654
539	13140	1630
540	13164	1606
541	13186	1581
542	13209	1556
543	13233	1532
544	13256	1508
545	13281	1483
546	13306	1459
547	13331	1435
548	13354	1410
549	13377	1386
550	13399	1361
551	13421	1337
552	13444	1312
553	13469	1288
554	13492	1264
555	13516	1239
556	13540	1215
557	13565	1191
558	13590	1166
559	13616	1142
560	13641	1118
561	13666	1094
562	13690	1069
563	13717	1045
564	13744	1021
565	13766	997
566	13788	972
567	13813	948
568	13837	924
569	13862	899
570	13888	875
571	13912	851
572	13937	826
573	13962	802
574	13985	778
575	14011	754
576	14035	729
577	14057	705
578	14081	680
579	14104	656
580	14126	632
581	14150	607
582	14175	583
583	14199	559
584	14221	534
585	14244	510
586	14270	486
587	14295	461
588	14319	437
589	14343	413
590	14366	388
591	14387	364
592	14410	340
593	14435	315
594	14462	291
595	14487	267
596	14512	243
597	14536	218
598	14560	194
599	14583	170
600	14609	145
601	14634	121
602	14659	97
603	14680	72
604	14704	48
605	14728	24
606	14751	0
