iter	Logloss
147	0.2991368048
148	0.2991256889
149	0.2991129446
150	0.2990859242
151	0.2990642604
152	0.2990350356
153	0.2990228939
154	0.2990053377
155	0.2989830781
156	0.2989633474
157	0.2989480815
158	0.2989188886
159	0.2989060082
160	0.2988874818
161	0.2988664736
162	0.2988525091
163	0.2988347872
164	0.2988195386
165	0.2988021328
166	0.2987874751
167	0.2987601185
168	0.2987353014
169	0.2987196946
170	0.2987052563
171	0.2986896368
172	0.2986635618
173	0.298649277
174	0.298626853
175	0.298617967
176	0.2986084611
177	0.2985865052
178	0.2985714367
179	0.2985467708
180	0.2985269849
181	0.2985067525
182	0.2984878438
183	0.2984709343
184	0.2984568835
185	0.2984405871
186	0.2984300939
187	0.2984082475
188	0.2983894538
189	0.298378724
190	0.298365827
191	0.2983525177
192	0.2983399628
193	0.2983249078
194	0.2983140204
195	0.2982976879
196	0.2982819293
197	0.2982624019
198	0.2982527449
199	0.298245199
200	0.2982362425
201	0.2982179003
202	0.2981985871
203	0.2981876268
204	0.2981763758
205	0.2981567322
206	0.298143396
207	0.2981295902
208	0.2981126329
209	0.2981031198
210	0.2980838834
211	0.2980685777
212	0.2980608971
213	0.2980502921
214	0.2980384641
215	0.2980294878
216	0.2980220272
217	0.2980088209
218	0.2979969917
219	0.2979868499
220	0.2979739991
221	0.2979661387
222	0.2979391923
223	0.2979263446
224	0.2979160509
225	0.2979043144
226	0.2978956859
227	0.2978808794
228	0.297868929
229	0.2978588219
230	0.2978463816
231	0.2978325931
232	0.2978232119
233	0.2978142442
234	0.2978009442
235	0.2977926556
236	0.2977780261
237	0.2977649256
238	0.2977581242
239	0.2977453831
240	0.2977315028
241	0.2977217128
242	0.2977039456
243	0.2976961647
244	0.2976795585
245	0.297665286
246	0.2976531971
247	0.2976255997
248	0.2976167989
249	0.2976021114
250	0.2975931347
251	0.2975771167
252	0.2975689844
253	0.2975629808
254	0.297544402
255	0.2975329458
256	0.2975168497
257	0.2975023608
258	0.2974930922
259	0.2974845597
260	0.2974742932
261	0.2974638366
262	0.2974504899
263	0.297439918
264	0.2974279565
265	0.2974190878
266	0.29740363
267	0.2973961296
268	0.2973880793
269	0.2973834251
270	0.2973664051
271	0.2973555099
272	0.2973422758
273	0.2973282658
274	0.2973174463
275	0.2973036151
276	0.2972943405
277	0.297288043
278	0.2972785405
279	0.2972445017
280	0.2972363468
281	0.2972265598
282	0.297217827
283	0.2972090643
284	0.2971980142
285	0.2971890275
286	0.2971768732
287	0.2971692401
288	0.2971619802
289	0.2971493924
290	0.2971415351
291	0.2971287955
292	0.2971196192
293	0.2971113494
294	0.2971017271
295	0.297092376
296	0.2970845665
297	0.2970756304
298	0.2970645656
299	0.2970565008
300	0.2970456449
301	0.2970315416
302	0.2970224222
303	0.2970059633
304	0.2969983878
305	0.2969872869
306	0.2969802432
307	0.296970825
308	0.2969643575
309	0.2969555509
310	0.2969424359
311	0.296935402
312	0.2969261479
313	0.2969156822
314	0.296892787
315	0.2968855611
316	0.2968777056
317	0.2968694638
318	0.2968551655
319	0.2968445943
320	0.2968356037
321	0.2968269396
322	0.2968176947
323	0.2968120656
324	0.2967993822
325	0.2967931796
326	0.2967840587
327	0.2967801637
328	0.2967695376
329	0.2967590939
330	0.2967510459
331	0.2967399384
332	0.2967270025
333	0.2967185505
334	0.2967082888
335	0.2966996383
336	0.2966909793
337	0.2966839068
338	0.2966715805
339	0.2966640021
340	0.2966568073
341	0.2966500532
342	0.2966431031
343	0.2966357172
344	0.2966322337
345	0.2966248956
346	0.2966183249
347	0.2966117348
348	0.2966047526
349	0.2965989655
350	0.296592739
351	0.2965857247
352	0.2965766942
353	0.2965594683
354	0.2965493506
355	0.2965386977
356	0.2965295876
357	0.2965171401
358	0.2965100074
359	0.2965017474
360	0.2964937475
361	0.2964874983
362	0.2964814248
363	0.2964730101
364	0.2964647956
365	0.2964599784
366	0.2964535349
367	0.2964470359
368	0.2964417225
369	0.2964332685
370	0.2964169858
371	0.2964095619
372	0.2964029885
373	0.2963978377
374	0.2963907479
375	0.2963836968
376	0.2963775965
377	0.2963724925
378	0.2963612625
379	0.2963535792
380	0.296346063
381	0.2963330958
382	0.2963272352
383	0.2963230254
384	0.2963149144
385	0.2963081597
386	0.2962991342
387	0.296293918
388	0.29628571
389	0.2962793148
390	0.296270992
391	0.2962640429
392	0.2962605019
393	0.2962539715
394	0.2962491102
395	0.2962446801
396	0.2962364713
397	0.2962307939
398	0.2962260551
399	0.296222726
400	0.2962105861
401	0.2962051141
402	0.2961988674
403	0.2961921814
404	0.2961851452
405	0.2961786899
406	0.2961705474
407	0.2961628672
408	0.2961579552
409	0.2961541828
410	0.2961494679
411	0.2961443802
412	0.2961331259
413	0.2961239855
414	0.2961171964
415	0.2961079712
416	0.2961047945
417	0.2960927292
418	0.2960866051
419	0.2960773889
420	0.2960678769
421	0.2960589438
422	0.2960543329
423	0.2960493094
424	0.2960434867
425	0.2960379902
426	0.2960340871
427	0.2960175821
428	0.2960106406
429	0.295999423
430	0.2959958179
431	0.2959898382
432	0.2959848813
433	0.2959788093
434	0.2959697015
435	0.2959534136
436	0.2959461525
437	0.2959371578
438	0.2959298458
439	0.2959218379
440	0.295913785
441	0.2959077358
442	0.2958994162
443	0.2958927515
444	0.2958868521
445	0.2958805213
446	0.2958751227
447	0.2958668718
448	0.2958587573
449	0.295853581
450	0.2958487433
451	0.2958396887
452	0.2958370077
453	0.2958302288
454	0.2958257566
455	0.2958164621
456	0.2958093342
457	0.2958046011
458	0.295801125
459	0.2957962026
460	0.2957906192
461	0.2957876487
462	0.2957801108
463	0.2957691926
464	0.295764293
465	0.2957549099
466	0.2957435969
467	0.2957346167
468	0.2957258912
469	0.2957159126
470	0.2957130989
471	0.2957049776
472	0.2956985688
473	0.2956908692
474	0.2956813382
475	0.2956773384
476	0.2956716041
477	0.2956675834
478	0.2956601882
479	0.2956540829
480	0.2956450308
481	0.295636948
482	0.2956318632
483	0.2956262235
484	0.2956175682
485	0.2956086841
486	0.2956024436
487	0.2955963299
488	0.2955899388
489	0.2955816197
490	0.2955727169
491	0.2955684583
492	0.295562896
493	0.2955582725
494	0.295552463
495	0.2955461667
496	0.2955419791
497	0.2955350079
498	0.295529557
499	0.2955250683
500	0.2955199791
501	0.2955126694
502	0.2955078415
503	0.2955039542
504	0.2954972422
505	0.2954878786
506	0.2954840346
507	0.2954773607
508	0.295470903
509	0.2954638208
510	0.2954503129
511	0.2954468109
512	0.2954360254
513	0.2954316371
514	0.2954260617
515	0.2954174278
516	0.2954121816
517	0.2954076971
518	0.2953978671
519	0.2953918832
520	0.2953848344
521	0.2953794124
522	0.2953734812
523	0.2953670848
524	0.2953632786
525	0.2953564074
526	0.2953519916
527	0.2953466646
528	0.2953409781
529	0.2953328505
530	0.2953284785
531	0.2953211061
532	0.2953144137
533	0.2953115937
534	0.2953065151
535	0.2953003982
536	0.2952977303
537	0.2952912848
538	0.2952851021
539	0.2952797045
540	0.2952727772
541	0.2952662018
542	0.2952602768
543	0.2952539763
544	0.2952463726
545	0.2952385907
546	0.2952313243
547	0.2952213668
548	0.2952160022
549	0.295208829
550	0.295203307
551	0.2951955728
552	0.2951895729
553	0.2951859526
554	0.2951793972
555	0.295175234
556	0.2951703581
557	0.2951646898
558	0.2951583831
559	0.2951550505
560	0.2951488245
561	0.2951418307
562	0.2951371238
563	0.2951296636
564	0.2951226019
565	0.295115415
566	0.2951101024
567	0.2951058024
568	0.2950987607
569	0.2950927397
570	0.2950835927
571	0.2950791331
572	0.2950742293
573	0.2950671265
574	0.2950606287
575	0.2950536526
576	0.2950471679
577	0.2950406536
578	0.2950325338
579	0.2950262313
580	0.2950218285
581	0.2950167276
582	0.2950125488
583	0.295008218
584	0.2950034166
585	0.2949976785
586	0.2949947249
587	0.2949886321
588	0.2949825299
589	0.294976838
590	0.2949727757
591	0.294969288
592	0.2949644252
593	0.2949605344
594	0.2949529801
595	0.2949479877
596	0.2949434378
597	0.2949384795
598	0.2949324397
599	0.2949280838
600	0.2949254908
601	0.2949194692
602	0.2949134724
603	0.2949088923
604	0.2949046392
605	0.2948996322
606	0.2948969427
